Customer,Order,PO,OrderDate,CancelDate,ShipDate,UpdateDate,Bol,Ref,Boxes,Value
NEW28405,539039,BPW01151SP,1/20/2020,3/27/2020,3/16/2020,3/4/2020,284678,,28,1154.4
HEB78283,501487,08X554883,10/18/2019,3/25/2020,3/18/2020,3/5/2020,284697,,2075,34920
HEB78283,559234,08X554883,10/18/2019,3/25/2020,3/18/2020,3/5/2020,284698,,764,15560
MAR01810,556764,1171023,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284700,,1155,17917
MAR01810,556772,1171026,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284700,,822,6840
MAR01810,556780,1171032,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284700,,8,84
MAR01810,556789,1171028,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284700,,493,7504.6
MAR01810,556765,6171023,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284701,,523,8109.4
MAR01810,556774,6171026,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284701,,730,6085
MAR01810,556781,6171032,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284701,,37,388.5
MAR01810,556790,6171028,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284701,,322,4869.2
MAR01810,556766,7171023,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284702,,914,14177.6
MAR01810,556775,7171026,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284702,,428,5070.4
MAR01810,556782,7171032,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284702,,52,546
MAR01810,556791,7171028,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284702,,292,4312.6
MAR01810,556768,8171023,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284704,,783,12146
MAR01810,556777,8171026,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284704,,238,4150
MAR01810,556783,8171032,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284704,,23,241.5
MAR01810,556792,8171028,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284704,,266,3922.2
NEW01701,556679,10171034,2/27/2020,3/22/2020,3/15/2020,3/5/2020,284706,,386,1621.2
NEW01701,556684,10171033,2/27/2020,3/22/2020,3/15/2020,3/5/2020,284706,,555,8540.4
NEW01701,556784,10171036,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284706,,12,126
NEW01701,556793,10171035,2/28/2020,3/22/2020,3/15/2020,3/5/2020,284706,,130,1929.2
